Company,Company_Name,Euro_Rate
114P,1UL CariCam PLAN Cont,1.00000000
2200,Unilever de Argentina S.A,1674.75630000
310P,FS Americas Entity,1.00000000
4235,Club de Beneficios S.A.,1674.75630000
5160,Argentina,1674.75630000
5729,Unilever ASCC AG Sucursal,1674.75630000
6129,Compre Ahora S.A.,1674.75630000
6183,URENT S.A.,1674.75630000
6191,Argentina,1674.75630000
741P,Argentina,1674.75630000
9314,Arisco SA,1674.75630000
4340,Unilever Andina Bolivia S,7.82166000
6026,Bolivia,7.82166000
744P,Bolivia,7.82166000
2236,Unilever Brasil Ltda.,6.29695000
4313,Cicanorte Ind. Com. S.A.,6.29695000
4664,Unilever BR Gel. NE S.A.,6.29695000
5346,UP! Alimentos Ltda.,6.29695000
5406,UBA 2 Com Rep Alim Ltda.,6.29695000
5454,Unilever BR Gelados Ltda.,6.29695000
5455,Unilever Logistica Serv.,6.29695000
5506,Brazil,6.29695000
5507,Alberto-Culver Do Brasil Cosmeticos Ltda.,6.29695000
5607,Brazil,6.29695000
5696,Euphoria,6.29695000
5697,Brazil,6.29695000
5825,Brazil,6.29695000
5826,Mae Terra Prd Naturais,6.29695000
5849,Brazil,6.29695000
5984,Brazil,6.29695000
5998,UB 5 SERVIÃ‡OS LTDA,6.29695000
6008,Brazil,6.29695000
6015,Brazil,6.29695000
6023,Smart Home,6.29695000
6030,Brazil,6.29695000
6040,Brazil,6.29695000
6041,OLE Franquia Ltda.,6.29695000
730P,Brazil,6.29695000
9311,Unilever BR Indust. Ltda.,6.29695000
6266,Magnum ICC Brazil,6.29695000
223P,UI Credit Canada,1.00000000
2258,UNILEVER FRANCE,1.00000000
3091,Canada,1.57343000
5090,Unilever Canada Inc.,1.57343000
5666,Canada,1.57343000
6221,Magnum ICC CA Ltd,1.57343000
2247,Unilever Chile Ltda.,1072.09948000
5647,Chile,1072.09948000
5851,Chile,1072.09948000
5978,Chile,1072.09948000
6064,Chile,1072.09948000
742P,Chile,1072.09948000
2248,Unil Andina Colombia Ltda,4577.00000000
5633,Colombia,4577.00000000
5852,Colombia,4577.00000000
6036,Colombia MSO,4577.00000000
743P,Colombia,4577.00000000
5646,UL Costa Rica SCC S.A,566.78416000
7200,Unilever Centroamerica SA,566.78416000
735P,Costa Rica,566.78416000
5766,Unilever Suchel Cuba,1.12380000
VKLO,LA Plan,1.00000000
5023,Unilever Caribe S.A.,68.91382000
5858,Dominican Republic,68.91382000
732P,Dominican Republic,68.91382000
9029,Wemado B V,68.91382000
4457,Unil Andina Ecuador S.A.,1.12380000
5859,UpField Foods Ecuador MSO,1.12380000
5860,Ecuador,1.12380000
728P,TeaCo Restatement USA USD,1.12380000
6226,Magnum ICC Ecuador S.A.S,1.12380000
5270,El Salvador,9.83327000
5635,UL El Salvador SCC SA CV,9.83327000
5862,El Salvador,9.83327000
5976,El Salvador,9.83327000
7203,Unilever de Centro America,9.83327000
736P,El Salvador,9.83327000
5636,Guatemala,8.63362000
7212,Unilever Centroamerica SA,8.63362000
737P,Guatemala,8.63362000
6045,Unilever Haiti,146.67788000
5064,Unilever Centroamerica SA,29.16691000
738P,Honduras,29.16691000
111P,LA PLAN Cont IC,1.00000000
101P,LA Plan B&W,1.00000000
301P,Americas PLAN Cont HC,1.00000000
110P,LA Plan NUTRITION,1.00000000
105P,LA Plan PC,1.00000000
2441,Unilever de Mexico,21.71041000
5117,Unilever Manufacturera,21.71041000
5241,Servicios Prof. Unilever,21.71041000
5276,Unilever Real Estate Mexico S.deR.L.deC.V.,21.71041000
5885,Mexico,21.71041000
5886,Mexico,21.71041000
5887,Mexico,21.71041000
731P,Mexico,21.71041000
6240,Magnum ICC Mexico,21.71041000
5103,Unilever Centroamerica SA,41.07026000
739P,Nicaragua,41.07026000
2539,Unilever Centroamerica SA,1.12380000
5551,UL Reg. Serv Panama SA,1.12380000
5898,Panama,1.12380000
740P,Panama,1.12380000
4544,Unilever de Paraguay SA,8569.00000000
5899,Paraguay,8569.00000000
5900,UpField Foods Peru MSO,4.02938000
6091,Peru,4.02938000
745P,Peru,4.02938000
9370,Unilever Andina Peru S.A.,4.02938000
2783,Unilever de Puerto Rico,1.12380000
6082,Unilever,1.00000000
733P,Puerto Rico,1.12380000
796P,Unilever,1.00000000
1815,Unilever Caribbean Ltd.,7.62711000
5915,Trinidad and Tobago,7.62711000
5974,Trinidad and Tobago,7.62711000
734P,Trinidad and Tobago,7.62711000
5487,Unilever NASCC LLC,1.12380000
6043,UASCC AG,1.12380000
300P,UASCC RTI,1.00000000
306P,Supply Chain Latin America Entity,1.00000000
710P,TeaCo Restatement Netherlands Euro,1.00000000
304P,UASCC RTI - North America,1.00000000
219P,UI Credit,1.00000000
2646,Conopco,1.12380000
2687,United States of America,1.12380000
3009,Unilever Asia Private Limited,1.12380000
5061,United States of America,1.12380000
5088,United States of America,1.12380000
5123,Unilever Ventures Advisory LLC,1.12380000
5195,United States of America,1.12380000
5322,United States of America,1.12380000
5432,United States of America,1.12380000
5495,United States of America,1.12380000
5541,United States of America,1.12380000
5543,Alberto-Culver USA Inc,1.12380000
5548,St Ives Laboratories Inc,1.12380000
5667,United States of America,1.12380000
5668,United States of America,1.12380000
5783,United States of America,1.12380000
5820,Pukka Herbs Inc,1.12380000
6009,The Laundress,1.12380000
6117,United States of America,1.12380000
6118,United States of America,1.12380000
6122,Other Countries,1.12380000
6194,Unilever NA Sourcing Wst,21.71041000
6201,Yasso Inc,1.12380000
9111,United States of America,1.12380000
6262,"Magnum ICC US SpinCo, LLC",1.12380000
6263,"Magnum ICC US Holdco, LLC",1.12380000
6286,"Magnum ICC US, LLC",1.12380000
2689,Uruguay,46.39727000
5648,Unilever Uruguay SCC S.A.,46.39727000
5923,UpField Foods Uruguay MSO,46.39727000
6053,Uruguay,46.39727000
746P,Uruguay,46.39727000
9375,Uruguay,46.39727000
2691,Unilever Andina Venezuela S.A.,284.63291000
6001,Venezuela,284.63291000
6163,Unil. Andina Venezuela SA,284.63291000
5277,"Unilever Holding Mexico, S de RL de CV",21.71041000
