FS Item,FS Item Name,L01
PL0001,GSV Third Party Sales,Turnover
PL0002,GSV 3rd Party Sales Reduct-Damaged and Unsaleables,Turnover
PL0003,GSV Third Party Sales Reduct-Logistic Deductions,Turnover
PL0004,GSV Third Party - Tax On Invoice,Turnover
PL0005,GSV Third Party - Tax Off Invoice,Turnover
PL0006,GSV Third Party - Tax Others,Turnover
PL0009,Efficient Operations Terms - Efficient Order On,Turnover
PL0010,Efficient Operations Terms - Efficient Order Off,Turnover
PL0011,Efficient Operatios Terms-Supply Chain Improve On,Turnover
PL0012,Efficient Operation Terms-Supply Chain Improve Off,Turnover
PL0013,Efficient Operations Terms - Prompt Payment On,Turnover
PL0014,Efficient Operations Terms - Prompt Payment Off,Turnover
PL0015,Efficient Operations Terms - Payment Method On,Turnover
PL0016,Efficient Operations Terms - Payment Method Off,Turnover
PL0017,BBT-OSA-Establish Portf On-Others,Turnover
PL0019,BBT-OSA-Establish Port On-Contract,Turnover
PL0020,Business Building Terms-OSA-Establish Portf Off,Turnover
PL0021,Business Building Terms - OSA - New Product On,Turnover
PL0022,Business Building Terms - OSA - New Product Off,Turnover
PL0023,Business Building Terms-EV-Establish Portfolio On,Turnover
PL0024,Business Building Terms-EV-Establish Portfolio Off,Turnover
PL0025,Business Building Terms - EV - New Product On,Turnover
PL0026,Business Building Terms - EV - New Product Off,Turnover
PL0027,Business Building Terms - CPP On - Others,Turnover
PL0028,Business Building Terms - CPP On - Promotional,Turnover
PL0029,Business Building Terms - CPP On - Directed,Turnover
PL0031,Business Building Terms - CPP Off - Others,Turnover
PL0033,Business Building Terms - CPP Off - Promotional,Turnover
PL0034,Business Building Terms - CPP Off - Marketing,Turnover
PL0035,Business Building Terms - CPP Off - Directed,Turnover
PL0037,Business Building Terms - CPP Off - Agreements,Turnover
PL0038,Business Building Terms - Coupon Expense,Turnover
PL0039,Business Building Terms - TCC On,Turnover
PL0040,Business Building Terms - TCC Off - Others,Turnover
PL0041,Business Building Terms - TCC Off - Sales,Turnover
PL0042,Business Building Terms - TCC Off - Agreements,Turnover
PL0043,Trade Terms - Results Oriented On,Turnover
PL0044,Trade Terms - Results Oriented Off - Others,Turnover
PL0046,Trade Terms - Results Oriented Off - Agreements,Turnover
